Abisynia,1005962,52.8461,16.0331
Abisynia,0162790,53.9292,17.8372
Abisynia,0889166,50.7167,23.8906
Abram,0537214,51.6097,19.6539
Abramowice,0954716,51.2086,22.5817
Abramowice,0430700,49.7919,20.1942
Abramowice Kościelne,0954722,51.1914,22.6294
Abramowice Prywatne,0380988,51.2047,22.6206
Abramów,0378052,51.4561,22.3158
Abramów,1020890,51.0469,22.5336
Abramów,0887629,50.6983,22.7003
Abramów-Kolonia,0887635,50.6989,22.7139
Abramówka,0102255,51.3178,23.1297
Abramy,0673733,52.2542,21.7997
Achrymowce,0033092,53.5128,23.5472
Adama,0246340,50.4142,20.2108
Adamcowa,0441773,49.6358,19.9256
Adamczowice,0795726,50.6544,21.4708
Adamczycha,0505929,53.1069,21.2628
Jadamczyki,0456444,49.6364,20.0647
Adamczykowa Rola,0429358,49.5225,19.6278
Adamek,0271532,51.0708,20.5064
Adamierz,0301233,52.1525,17.7953
Adamierz,0825189,50.205,20.9
Adamin,0289992,52.1636,18.835
Adaminowo,0871522,52.595,19.2719
Adaminów,0624545,51.5767,21.1331
Adamka,0513120,53.1483,21.6528
Adamka,0720119,51.7664,18.8372
Adamki,0697716,51.6647,18.495
Adamki,0745757,54.0014,17.115
Adamki,0872272,52.9989,19.1231
Adamki,0017851,51.7678,22.5669
Adamki,0109783,51.5092,23.4817
Adamki,0055780,49.6747,19.3747
Adamkowo,0088621,53.5142,17.6992
Adamkówka,0049472,49.7658,19.6369
Adamkówka,0049905,49.7572,19.7172
Adamowa,0061390,49.7172,19.7617
Adamowa Góra,0731703,52.2644,20.2064
Adamowe Łączki,1011260,53.9661,23.3047
Adamowice,0965921,50.5164,18.2975
Adamowice,0216295,50.1317,18.3297
Adamowice,0568628,52.2344,19.2981
Adamowice,0732335,51.9408,20.4806
Adamowice,0319032,50.3786,19.8536
Adamowizna,0770011,54.1778,23.1278
Adamowizna,0002111,52.0725,20.6364
Adamowo,0377710,51.9092,16.4319
Adamowo,0373965,51.9636,16.6906
Adamowo,0916220,52.0933,16.1269
Adamowo,0286189,52.4489,18.0447
Adamowo,0149222,54.1544,19.2614
Adamowo,0157026,53.9061,19.3789
Adamowo,0157948,53.705,19.3486
Adamowo,0099978,53.3886,17.3044
Adamowo,0844703,53.4278,19.1644
Adamowo,0861311,52.9494,19.2767
